# Complete English Dictionary
# Derived from pt/words/dictionary-complete.txt
# Total words: 905
# 
# Source language (translation column): Portuguese (pt)
# Format: word | translation | [ipa]

a | uma | [ˈeɪ]
slowly | devagar | [slˈəʊli]
small | pequena | [smˈɔːl]
smaller | menor | [smˈɔːlə]
smell | cheiro | [smˈɛl]
smile | sorriso | [smˈaɪl]
smiles | sorri | [smˈaɪlz]
snowy | nevados | [snˈəʊi]
so | assim | [sˈəʊ]
sock | meia | [sˈɒk]
sofa | sofá | [sˈəʊfə]
solid | sólida | [sˈɒlɪd]
some | algum | [sˈʌm]
someone | alguém | [sˈʌmwɒn]
something | algo | [sˈʌmθɪŋ]
soon | logo | [sˈuːn]
sophie | sophie | [sˈəʊfi]
sound | som | [sˈaʊnd]
sounds | soa | [sˈaʊndz]
soup | sopa | [sˈuːp]
source | fonte | [sˈɔːs]
speaker | falante | [spˈiːkə]
spontaneously | espontaneamente | [spɒntˈeɪniəsli]
spread | espalhar | [spɹˈɛd]
spreads | espalha | [spɹˈɛdz]
sprouts | brota | [spɹˈaʊts]
stalks | talos | [stˈɔːks]
station | posto | [stˈeɪʃən]
stay | ficam | [stˈeɪ]
stayed | ficado | [stˈeɪd]
staying | ficando | [stˈeɪɪŋ]
stays | fica | [stˈeɪz]
stems | caules | [stˈɛmz]
still | ainda | [stˈɪl]
sting | picam | [stˈɪŋ]
stirs | mexe | [stˈɜːz]
stone | pedra | [stˈəʊn]
stones | pedras | [stˈəʊnz]
stories | histórias | [stˈɔːɹɪz]
storms | tempestades | [stˈɔːmz]
story | história | [stˈɔːɹɪ]
straighten | endireita | [stɹˈeɪtən]
strange | estranha | [stɹˈeɪndʒ]
street | rua | [stɹˈiːt]
streets | ruas | [stɹˈiːts]
strip | tira | [stɹˈɪp]
stroll | passeiam | [stɹˈəʊl]
strolls | passeia | [stɹˈəʊlz]
strong | forte | [stɹˈɒŋ]
structure | estrutura | [stɹˈʌktʃə]
stupid | estúpidos | [stjˈuːpɪd]
subway | metrô | [sˈʌbweɪ]
sudden | repentina | [sˈʌdən]
suddenly | repente | [sˈʌdənli]
suitcases | malas | [sˈuːtkeɪsɪz]
summer | verão | [sˈʌmə]
sun | sol | [sˈʌn]
surprise | surpresa | [səpɹˈaɪz]
surprised | surpreso | [səpɹˈaɪzd]
surroundings | arredores | [səɹˈaʊndɪŋz]
survival | sobrevivência | [səvˈaɪvəl]
survive | sobreviver | [səvˈaɪv]
survived | sobreviveram | [səvˈaɪvd]
sweater | suéter | [swˈɛtə]
sweet | doce | [swˈiːt]
sweets | doces | [swˈiːts]
take | levam | [tˈeɪk]
takes | leva | [tˈeɪks]
talk | conversar | [tˈɔːk]
talkative | conversadeira | [tˈɔːkətˌɪv]
talks | fala | [tˈɔːks]
taste | gosto | [tˈeɪst]
tea | chá | [tˈiː]
teaches | ensina | [tˈiːtʃɪz]
team | equipe | [tˈiːm]
telephone | telefone | [tˈɛlɪfˌəʊn]
telephones | telefones | [tˈɛlɪfˌəʊnz]
temperature | temperatura | [tˈɛmpɹɪtʃə]
tense | tensa | [tˈɛns]
terrible | terrível | [tˈɛɹəbəl]
terribly | terrivelmente | [tˈɛɹəblɪ]
test | prova | [tˈɛst]
that | aquela | [ðˈat]
the | as | [ðˈə]
them | lhes | [ðˈɛm]
there | ali | [ðˈeə]
these | estas | [ðˈiːz]
thick | espessa | [θˈɪk]
thing | coisa | [θˈɪŋ]
things | coisas | [θˈɪŋz]
think | acho | [θˈɪŋk]
thinks | pensa | [θˈɪŋks]
thirst | sede | [θˈɜːst]
this | esta | [ðˈɪs]
those | aqueles | [ðˈəʊz]
thought | pensava | [θˈɔːt]
three | três | [θɹˈiː]
tickets | bilhetes | [tˈɪkɪts]
tidies | arruma | [tˈaɪdiz]
tiet | tietê | [tˈaɪt]
time | tempo | [tˈaɪm]
times | vezes | [tˈaɪmz]
tired | cansada | [tˈaɪəd]
to | ao | [tˈuː]
tomatoes | tomates | [təmˈɑːtəʊz]
tomorrow | amanhã | [təmˈɒɹəʊ]
top | cima | [tˈɒp]
touch | tocam | [tˈʌtʃ]
touches | toca | [tˈʌtʃɪz]
traffic | trânsito | [tɹˈafɪk]
trail | trilha | [tɹˈeɪl]
trails | trilhas | [tɹˈeɪlz]
train | trem | [tɹˈeɪn]
trains | trens | [tɹˈeɪnz]
transformed | transformou | [tɹansfˈɔːmd]
transforms | transforma | [tɹansfˈɔːmz]
trees | árvores | [tɹˈiːz]
tremendous | tremendo | [tɹəmˈɛndəs]
tries | tenta | [tɹˈaɪz]
trip | viagem | [tɹˈɪp]
true | verdadeiro | [tɹˈuː]
trust | confiar | [tɹˈʌst]
trusted | acreditado | [tɹˈʌstɪd]
truth | verdade | [tɹˈuːθ]
turn | virar | [tˈɜːn]
turning | tornando | [tˈɜːnɪŋ]
turns | vira | [tˈɜːnz]
twenty | vinte | [twˈɛnti]
two | dois | [tˈuː]
uncertainty | incerteza | [ʌnsˈɜːtənti]
uncommon | incomum | [ʌnkˈɒmən]
underneath | embaixo | [ˌʌndənˈiːθ]
understand | compreender | [ˌʌndəstˈand]
unexpected | inesperado | [ˌʌnɛkspˈɛktɪd]
until | até | [ʌntˈɪl]
us | nos | [ˈʌs]
useful | útil | [jˈuːsfəl]
using | usando | [jˈuːzɪŋ]
valley | vale | [vˈalɪ]
very | muito | [vˈɛɹɪ]
view | vista | [vjˈuː]
village | vila | [vˈɪlɪdʒ]
voice | voz | [vˈɔɪs]
wagon | vagão | [wˈaɡən]
wait | espera | [wˈeɪt]
walk | andar | [wˈɔːk]
walking | andando | [wˈɔːkɪŋ]
walks | caminha | [wˈɔːks]
wall | parede | [wˈɔːl]
wallet | carteira | [wˈɒlɪt]
walls | paredes | [wˈɔːlz]
want | quero | [wˈɒnt]
wanted | queria | [wˈɒntɪd]
wants | quer | [wˈɒnts]
warm | caloroso | [wˈɔːm]
warned | avisou | [wˈɔːnd]
was | era | [wˈɒz]
watch | relógio | [wˈɒtʃ]
water | água | [wˈɔːtə]
we | nós | [wˈiː]
wednesday | quarta | [wˈɛnzdeɪ]
week | semana | [wˈiːk]
welcome | bem-vindos | [wˈɛlkʌm]
welcomes | recepciona | [wˈɛlkʌmz]
well | bem | [wˈɛl]
went | fui | [wˈɛnt]
were | estavam | [wˈɜː]
whale | bale | [wˈeɪl]
when | quando | [wˈɛn]
where | onde | [wˈeə]
which | qual | [wˈɪtʃ]
while | enquanto | [wˈaɪl]
white | blanc | [wˈaɪt]
whiteness | brancura | [wˈaɪtnəs]
who | quem | [hˈuː]
win | ganhar | [wˈɪn]
wind | vento | [wˈɪnd]
wine | vinho | [wˈaɪn]
wines | vinhos | [wˈaɪnz]
winters | invernos | [wˈɪntəz]
with | com | [wˈɪð]
without | sem | [wɪðˈaʊt]
woman | mulher | [wˈʊmən]
wonder | maravilha | [wˈʌndə]
wood | madeira | [wˈʊd]
words | palavras | [wˈɜːdz]
work | trabalho | [wˈɜːk]
world | mundo | [wˈɜːld]
worried | preocupada | [wˈʌɹɪd]
worries | preocupa | [wˈʌɹɪz]
wrinkled | enrugadas | [ɹˈɪŋkəld]
yes | sim | [jˈɛs]
yesterday | ontem | [jˈɛstədˌeɪ]
you | te | [jˈuː]
your | tua | [jˈɔː]
